ScanID, TVC_XA, TVC_PER, TVC_COM , Subglottic_XA, Subglottic_PER, Subglottic_COM , InfSub_XA, InfSub_PER, InfSub_COM , MinSliceID, MinSlice_XA, MinSlice_PER, MinSlice_COM, MidT_XA, MidT_PER, MidT_COM
1088, 69.2599, 39.6075, -8.69972 -142.465 -573.301, 77.5497, 31.3351, -7.3738 -139.06 -585.319, 77.5497, 31.3351, -7.3738 -139.06 -585.319, 471, 65.7508, 29.8205, -7.54815 -142.859 -575.754, 86.8644, 33.4852, -7.47431 -124.155 -617.504
1089, 31.3249, 21.4929, 6.44414 -103.431 -137.521, 43.8567, 23.7139, 6.98752 -102.609 -144.716, 43.8567, 23.7139, 6.98752 -102.609 -144.716, 547, 31.0734, 21.3709, 6.44037 -103.429 -137.399, 54.1901, 27.7134, 5.40106 -95.7178 -169.651
1092, 13.47, 14.5266, 5.39591 -177.532 347.412, 31.5618, 20.4625, 5.4498 -175.89 342.632, 31.5618, 20.4625, 5.4498 -175.89 342.632, 485, 13.2372, 14.391, 5.39271 -177.556 347.46, 33.6751, 20.7419, 4.71429 -162.335 326.176
1094, 36.9172, 23.5081, 10.5184 -126.788 -203.215, 41.3476, 23.5625, 10.5551 -125.838 -205.845, 41.3476, 23.5625, 10.5551 -125.838 -205.845, 460, 36.4533, 23.438, 10.5167 -126.844 -203.108, 48.0347, 25.0248, 9.65794 -114.675 -230.379
1095, 68.5544, 31.3537, 7.0176 -168.145 -202.917, 71.8779, 30.9254, 7.11373 -166.189 -206.256, 71.8779, 30.9254, 7.11373 -166.189 -206.256, 456, 67.7475, 31.2693, 7.01855 -168.204 -202.801, 78.9386, 31.8683, 7.75605 -142.532 -236.643
1096, 27.9681, 19.9747, 10.4005 -184.918 -79.8285, 34.6851, 21.3769, 10.0741 -184.341 -83.0117, 34.6851, 21.3769, 10.0741 -184.341 -83.0117, 503, 27.6358, 19.8994, 10.4088 -184.938 -79.7143, 52.4126, 27.1095, 6.55084 -172.435 -107.625
1097, 50.3027, 29.2386, 8.364 -138.935 -236.296, 64.5296, 29.3029, 8.63015 -136.962 -240.973, 64.5296, 29.3029, 8.63015 -136.962 -240.973, 439, 49.4864, 29.1542, 8.3553 -138.962 -236.189, 77.2544, 31.3259, 10.4255 -124.662 -271.528
1098, 38.1105, 23.8813, 9.78391 -121.326 376.202, 50.6535, 25.4869, 9.49275 -120.335 373.037, 50.6535, 25.4869, 9.49275 -120.335 373.037, 686, 37.2356, 23.8108, 9.80486 -121.369 376.346, 63.8728, 28.9111, 6.96995 -107.367 345.413
1099, 36.5995, 24.7559, -30.2127 -156.258 -271.901, 52.5057, 26.6329, -29.4115 -152.264 -278.264, 52.5057, 26.6329, -29.4115 -152.264 -278.264, 578, 36.4503, 24.7206, -30.2292 -156.323 -271.818, 68.0367, 30.0435, -27.9338 -135.846 -293.953
1100, 111.034, 40.6785, 5.80954 -169.919 334.009, 122.892, 40.2877, 5.49283 -168.151 328.868, 122.892, 40.2877, 5.49283 -168.151 328.868, 495, 108.893, 40.5411, 5.79711 -169.972 334.194, 146.321, 50.8967, 1.87111 -144.951 283.633
1101, 77.9258, 32.9909, 2.80949 -152.374 -191.385, 82.9401, 32.4797, 2.32794 -150.403 -197.149, 82.9401, 32.4797, 2.32794 -150.403 -197.149, 572, 77.9258, 32.9909, 2.80949 -152.374 -191.385, 127.219, 40.8512, -1.0647 -134.289 -230.784
1102, 31.4245, 22.81, 7.07732 -115.393 305.649, 46.0846, 25.1272, 7.44342 -114.599 301.171, 46.0846, 25.1272, 7.44342 -114.599 301.171, 683, 31.2945, 22.7421, 7.06419 -115.402 305.744, 52.6791, 26.714, 6.70949 -108.563 284.454
1103, 41.9516, 25.5133, -9.45352 -135.26 -258.362, 72.6155, 30.7398, -9.63946 -134.98 -262.369, 72.6155, 30.7398, -9.63946 -134.98 -262.369, 530, 40.6809, 25.2288, -9.45461 -135.304 -258.261, 97.5925, 50.956, -9.51448 -119.831 -309.06
1105, 106.685, 42.8486, 5.86118 -165.745 -198.143, 181.287, 49.6604, 6.63236 -163.403 -208.372, 181.287, 49.6604, 6.63236 -163.403 -208.372, 656, 104.771, 42.5714, 5.83875 -165.799 -197.939, 195.976, 51.7587, 9.14423 -146.531 -250.83
1108, 315.228, 167.818, 7.37831 -142.931 254.223, 87.9205, 34.2309, 7.23208 -146.903 244.707, 87.9205, 34.2309, 7.23208 -146.903 244.707, 481, 87.3123, 35.0276, 7.16021 -147.124 245.219, 101.064, 35.907, 5.51085 -136.389 205.974
